2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0129.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0130.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0131.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0132.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0133.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0134.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0135.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0136.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0137.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0138.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0139.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0140.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0141.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0142.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0143.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0144.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0145.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0146.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0147.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0148.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0149.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0150.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0151.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0152.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0153.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0154.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0155.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0156.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0157.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
2022-11-11 17:53:13|INFO    |[jdTest1111.py:342]|0158.xml中"飞机"类目标有1个,被检测出的目标有1个，其中被正确检测的目标有1个
